Pair,SIDR,weak_sentence,strong_sentence,strong_image,weak_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,screener.started,partyslider.started,partyInstructions.started,screener.stopped,party,partyslider.response,partyslider.rt,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,key_resp_2.started,trial.stopped,trials.slider.response,trials.slider.rt,trials.key_resp_2.keys,trials.key_resp_2.rt,trials.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.005307300016283989,0.02080620010383427,0.02080620010383427,0.942768800072372,space,0.9025822000112385,None,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-09_05h16.04.165,final_project,,2025.1.1,71.86969736900822,2025-12-09 05h16.07.615025 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9453259999863803,0.9683847001288086,0.9683847001288086,2.2915686999913305,Republican,1.0,1.332442699931562,,,,,,,,,,,,,,pilot,001,2025-12-09_05h16.04.165,final_project,,2025.1.1,71.86969736900822,2025-12-09 05h16.07.615025 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,Image stimuli/Good_Sora_25112025 (3).png,Image stimuli/Adequate_Sora_25112025.png,0,0,0,0.0,3.9622055999934673,space,5.985154499998316,None,0,0,0,0,2.4866101001389325,,,,,,,,,,,,,,,,2.467816600110382,2.4866101001389325,2.4866101001389325,2.4866101001389325,2.4866101001389325,2.4866101001389325,2.4866101001389325,8.478133199969307,0.0,3.9622055999934673,space,5.985154499998316,None,pilot,001,2025-12-09_05h16.04.165,final_project,,2025.1.1,71.86969736900822,2025-12-09 05h16.07.615025 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,Image stimuli/Certain_Sora_25112025.png,Image stimuli/Likely_Sora_25112025.png,1,1,0,1.0,1.0935728999320418,space,1.2401504998560995,None,0,1,1,2,8.599303900031373,,,,,,,,,,,,,,,,8.586036700056866,8.599303900031373,8.599303900031373,8.599303900031373,8.599303900031373,8.599303900031373,8.599303900031373,9.854213500162587,1.0,1.0935728999320418,space,1.2401504998560995,None,pilot,001,2025-12-09_05h16.04.165,final_project,,2025.1.1,71.86969736900822,2025-12-09 05h16.07.615025 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,Image stimuli/Open_Sora_25112025.png,Image stimuli/Ajar_Sora_25112025.png,2,2,0,1.0,0.6886094000656158,space,0.8664491998497397,None,0,2,2,1,9.989606200018898,,,,,,,,,,,,,,,,9.978347399970517,9.989606200018898,9.989606200018898,9.989606200018898,9.989606200018898,9.989606200018898,9.989606200018898,10.868236900074407,1.0,0.6886094000656158,space,0.8664491998497397,None,pilot,001,2025-12-09_05h16.04.165,final_project,,2025.1.1,71.86969736900822,2025-12-09 05h16.07.615025 -0500,
