Pair,SIDR,weak_sentence,strong_sentence,weak_image,strong_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.008216199930757284,0.01283799996599555,0.01283799996599555,9.168827599962242,space,9.14297839999199,None,,,,,,,,,,pilot,001,2025-12-02_08h55.33.876,acceptability-judgment-advanced,,2025.1.1,70.97000380129471,2025-12-02 08h55.38.726978 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Ajar_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Open_Sora_25112025.png,0,0,0,2.0,2.9215835999930277,0,0,0,1,9.375963300000876,,,,,,,,,9.356215499923564,9.375963300000876,9.375963300000876,9.375963300000876,9.375963300000876,9.375963300000876,12.520546999992803,2.0,2.9215835999930277,pilot,001,2025-12-02_08h55.33.876,acceptability-judgment-advanced,,2025.1.1,70.97000380129471,2025-12-02 08h55.38.726978 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Adequate_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Good_Sora_25112025 (3).png,1,1,0,2.0,0.9100975000765175,0,1,1,0,12.712823699926957,,,,,,,,,12.698694300022908,12.712823699926957,12.712823699926957,12.712823699926957,12.712823699926957,12.712823699926957,14.226024999981746,2.0,0.9100975000765175,pilot,001,2025-12-02_08h55.33.876,acceptability-judgment-advanced,,2025.1.1,70.97000380129471,2025-12-02 08h55.38.726978 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Likely_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Certain_Sora_25112025.png,2,2,0,2.0,0.5279191000154242,0,2,2,2,14.367584299994633,,,,,,,,,14.356551099917851,14.367584299994633,14.367584299994633,14.367584299994633,14.367584299994633,14.367584299994633,15.064942199969664,2.0,0.5279191000154242,pilot,001,2025-12-02_08h55.33.876,acceptability-judgment-advanced,,2025.1.1,70.97000380129471,2025-12-02 08h55.38.726978 -0500,
