Pair,SIDR,weak_sentence,strong_sentence,weak_image,strong_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0071946000680327415,0.018189199967309833,0.018189199967309833,3.2457145999651402,space,3.070918699959293,None,,,,,,,,,,pilot,001,2025-12-02_08h52.20.253,acceptability-judgment-advanced,,2025.1.1,72.48593413239252,2025-12-02 08h52.23.905518 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Likely_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Certain_Sora_25112025.png,0,0,0,3.0,11.94352049997542,0,0,0,2,3.4794320999644697,,,,,,,,,3.4498433000408113,3.4794320999644697,3.4794320999644697,3.4794320999644697,3.4794320999644697,3.4794320999644697,22.535983200068586,3.0,11.94352049997542,pilot,001,2025-12-02_08h52.20.253,acceptability-judgment-advanced,,2025.1.1,72.48593413239252,2025-12-02 08h52.23.905518 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Adequate_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Good_Sora_25112025 (3).png,1,1,0,2.0,1.9224846001015976,0,1,1,0,22.697328399983235,,,,,,,,,22.687602899968624,22.697328399983235,22.697328399983235,22.697328399983235,22.697328399983235,22.697328399983235,24.965575800044462,2.0,1.9224846001015976,pilot,001,2025-12-02_08h52.20.253,acceptability-judgment-advanced,,2025.1.1,72.48593413239252,2025-12-02 08h52.23.905518 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Ajar_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Open_Sora_25112025.png,2,2,0,2.0,0.683242499944754,0,2,2,1,25.141388199990615,,,,,,,,,25.129841599962674,25.141388199990615,25.141388199990615,25.141388199990615,25.141388199990615,25.141388199990615,25.996918500051834,2.0,0.683242499944754,pilot,001,2025-12-02_08h52.20.253,acceptability-judgment-advanced,,2025.1.1,72.48593413239252,2025-12-02 08h52.23.905518 -0500,
