Pair,SIDR,weak_sentence,strong_sentence,strong_image,weak_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Screener.started,partyslider.started,partyInstructions.started,Screener.stopped,party,partyslider.response,partyslider.rt,stim_list_file,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.006457900162786245,0.011147300014272332,0.011147300014272332,1.80672930018045,space,1.7645219000987709,None,,,,,,,,,,,,,,,,,,pilot,001,2025-12-09_03h59.12.373,acceptability-judgment-advanced,,2025.1.1,72.9155274618104,2025-12-09 03h59.16.162296 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,1.8093216000124812,1.8447182001546025,1.8447182001546025,3.299121499992907,Democratic,2.0,1.4707590998150408,,,,,,,,,,,pilot,001,2025-12-09_03h59.12.373,acceptability-judgment-advanced,,2025.1.1,72.9155274618104,2025-12-09 03h59.16.162296 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,Image stimuli/Open_Sora_25112025.png,Image stimuli/Ajar_Sora_25112025.png,0,0,0,2.0,1.7225671000778675,0,0,0,1,3.4723229999653995,,,,,,,,,,,,,,,,B_Stimuli_w_path.xlsx,3.454985599964857,3.4723229999653995,3.4723229999653995,3.4723229999653995,3.4723229999653995,3.4723229999653995,6.21799680008553,2.0,1.7225671000778675,pilot,001,2025-12-09_03h59.12.373,acceptability-judgment-advanced,,2025.1.1,72.9155274618104,2025-12-09 03h59.16.162296 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,Image stimuli/Good_Sora_25112025 (3).png,Image stimuli/Adequate_Sora_25112025.png,1,1,0,2.0,0.5463157999329269,0,1,1,0,6.331206999951974,,,,,,,,,,,,,,,,B_Stimuli_w_path.xlsx,6.3202144000679255,6.331206999951974,6.331206999951974,6.331206999951974,6.331206999951974,6.331206999951974,7.007394700078294,2.0,0.5463157999329269,pilot,001,2025-12-09_03h59.12.373,acceptability-judgment-advanced,,2025.1.1,72.9155274618104,2025-12-09 03h59.16.162296 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,Image stimuli/Certain_Sora_25112025.png,Image stimuli/Likely_Sora_25112025.png,2,2,0,2.0,0.5905237998813391,0,2,2,2,7.127682000165805,,,,,,,,,,,,,,,,B_Stimuli_w_path.xlsx,7.115438299952075,7.127682000165805,7.127682000165805,7.127682000165805,7.127682000165805,7.127682000165805,7.86401110002771,2.0,0.5905237998813391,pilot,001,2025-12-09_03h59.12.373,acceptability-judgment-advanced,,2025.1.1,72.9155274618104,2025-12-09 03h59.16.162296 -0500,
