Pair,SIDR,weak_sentence,strong_sentence,weak_image,strong_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Screener.started,partyslider.started,partyInstructions.started,Screener.stopped,partyslider.response,partyslider.rt,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.013295500073581934,0.01926850003656,0.01926850003656,3.551298900041729,space,3.5104191000573337,None,,,,,,,,,,,,,,,,pilot,001,2025-12-02_09h52.26.695,acceptability-judgment-advanced,,2025.1.1,71.23060120245285,2025-12-02 09h52.30.242857 -0500,
,,,,,,,,,,,,,,,,,3.5514363000402227,3.5630727000534534,3.5630727000534534,5.371979800052941,space,1.7884342999896035,None,,,,,,,,,,,,,,,,pilot,001,2025-12-02_09h52.26.695,acceptability-judgment-advanced,,2025.1.1,71.23060120245285,2025-12-02 09h52.30.242857 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,5.374805300030857,5.395439999992959,5.395439999992959,7.3999205000000075,1.0,2.0026229000650346,,,,,,,,,,pilot,001,2025-12-02_09h52.26.695,acceptability-judgment-advanced,,2025.1.1,71.23060120245285,2025-12-02 09h52.30.242857 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,Image stimuli/Ajar_Sora_25112025.png,Image stimuli/Open_Sora_25112025.png,0,0,0,2.0,12.943779799970798,0,0,0,1,7.584450999973342,,,,,,,,,,,,,,,7.570779800065793,7.584450999973342,7.584450999973342,7.584450999973342,7.584450999973342,7.584450999973342,20.641222500009462,2.0,12.943779799970798,pilot,001,2025-12-02_09h52.26.695,acceptability-judgment-advanced,,2025.1.1,71.23060120245285,2025-12-02 09h52.30.242857 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,Image stimuli/Adequate_Sora_25112025.png,Image stimuli/Good_Sora_25112025 (3).png,1,1,0,2.0,0.4376716000260785,0,1,1,0,20.762412999989465,,,,,,,,,,,,,,,20.752645900007337,20.762412999989465,20.762412999989465,20.762412999989465,20.762412999989465,20.762412999989465,21.231228100019507,2.0,0.4376716000260785,pilot,001,2025-12-02_09h52.26.695,acceptability-judgment-advanced,,2025.1.1,71.23060120245285,2025-12-02 09h52.30.242857 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,Image stimuli/Likely_Sora_25112025.png,Image stimuli/Certain_Sora_25112025.png,2,2,0,2.0,1.03611099999398,0,2,2,2,21.353833300061524,,,,,,,,,,,,,,,21.342996300081722,21.353833300061524,21.353833300061524,21.353833300061524,21.353833300061524,21.353833300061524,22.52068189997226,2.0,1.03611099999398,pilot,001,2025-12-02_09h52.26.695,acceptability-judgment-advanced,,2025.1.1,71.23060120245285,2025-12-02 09h52.30.242857 -0500,
