Pair,SIDR,weak_sentence,strong_sentence,weak_image,strong_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions_.started,text.started,key_resp.started,Instructions_.stopped,key_resp.keys,key_resp.rt,key_resp.duration,screener.started,partyslider.started,partyInstructions.started,screener.stopped,party,partyslider.response,partyslider.rt,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,key_resp_2.started,trial.stopped,trials.slider.response,trials.slider.rt,trials.key_resp_2.keys,trials.key_resp_2.rt,trials.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.012572800042107701,0.019359400030225515,0.019359400030225515,1.328569200122729,space,1.2826340000610799,None,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-09_04h56.01.057,final_project,,2025.1.1,72.17595346887222,2025-12-09 04h56.05.608800 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3312274999916553,1.3674769001081586,1.3674769001081586,2.620142500149086,Republican,1.0,1.2758937999606133,,,,,,,,,,,,,,pilot,001,2025-12-09_04h56.01.057,final_project,,2025.1.1,72.17595346887222,2025-12-09 04h56.05.608800 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,Image stimuli/Ajar_Sora_25112025.png,Image stimuli/Open_Sora_25112025.png,0,0,0,None,None,space,0.08343320013955235,None,0,0,0,1,2.8045165999792516,,,,,,,,,,,,,,,,2.7850018001627177,2.8045165999792516,2.8045165999792516,2.8045165999792516,2.8045165999792516,2.8045165999792516,2.8045165999792516,2.9257835000753403,None,None,space,0.08343320013955235,None,pilot,001,2025-12-09_04h56.01.057,final_project,,2025.1.1,72.17595346887222,2025-12-09 04h56.05.608800 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,Image stimuli/Likely_Sora_25112025.png,Image stimuli/Certain_Sora_25112025.png,1,1,0,1.0,1.5774905001744628,space,2.0345421000383794,None,0,1,1,2,3.0879459001589566,,,,,,,,,,,,,,,,3.0769216001499444,3.0879459001589566,3.0879459001589566,3.0879459001589566,3.0879459001589566,3.0879459001589566,3.0879459001589566,5.12837680010125,1.0,1.5774905001744628,space,2.0345421000383794,None,pilot,001,2025-12-09_04h56.01.057,final_project,,2025.1.1,72.17595346887222,2025-12-09 04h56.05.608800 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,Image stimuli/Adequate_Sora_25112025.png,Image stimuli/Good_Sora_25112025 (3).png,2,2,0,1.0,0.6148975000251085,space,0.766629199963063,None,0,2,2,0,5.247873299987987,,,,,,,,,,,,,,,,5.231678100069985,5.247873299987987,5.247873299987987,5.247873299987987,5.247873299987987,5.247873299987987,5.247873299987987,6.025235899956897,1.0,0.6148975000251085,space,0.766629199963063,None,pilot,001,2025-12-09_04h56.01.057,final_project,,2025.1.1,72.17595346887222,2025-12-09 04h56.05.608800 -0500,
