Pair,SIDR,weak_sentence,strong_sentence,weak_image,strong_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.006408400018699467,0.011045300052501261,0.011045300052501261,0.5714480000315234,space,0.5355417999671772,None,,,,,,,,,,pilot,001,2025-12-02_09h03.13.109,acceptability-judgment-advanced,,2025.1.1,72.06526805887718,2025-12-02 09h03.16.152366 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Ajar_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Open_Sora_25112025.png,0,0,0,2.0,10.490421799942851,0,0,0,1,0.7840252000605687,,,,,,,,,0.7677691000280902,0.7840252000605687,0.7840252000605687,0.7840252000605687,0.7840252000605687,0.7840252000605687,11.34541310009081,2.0,10.490421799942851,pilot,001,2025-12-02_09h03.13.109,acceptability-judgment-advanced,,2025.1.1,72.06526805887718,2025-12-02 09h03.16.152366 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Likely_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Certain_Sora_25112025.png,1,1,0,2.0,0.42602270003408194,0,1,1,2,11.504737200099044,,,,,,,,,11.495130800059997,11.504737200099044,11.504737200099044,11.504737200099044,11.504737200099044,11.504737200099044,11.991997700068168,2.0,0.42602270003408194,pilot,001,2025-12-02_09h03.13.109,acceptability-judgment-advanced,,2025.1.1,72.06526805887718,2025-12-02 09h03.16.152366 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Adequate_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Good_Sora_25112025 (3).png,2,2,0,2.0,0.4371769999852404,0,2,2,0,12.134461300098337,,,,,,,,,12.12151230010204,12.134461300098337,12.134461300098337,12.134461300098337,12.134461300098337,12.134461300098337,12.617227000067942,2.0,0.4371769999852404,pilot,001,2025-12-02_09h03.13.109,acceptability-judgment-advanced,,2025.1.1,72.06526805887718,2025-12-02 09h03.16.152366 -0500,
