Pair,SIDR,weak_sentence,strong_sentence,weak_image,strong_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.00681980000808835,0.018196000019088387,0.018196000019088387,1.8675271000247449,space,1.8195764999836683,None,,,,,,,,,,pilot,001,2025-12-02_09h06.00.432,acceptability-judgment-advanced,,2025.1.1,72.05680380248141,2025-12-02 09h06.04.481802 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,Image stimuli\Ajar_Sora_25112025.png,Image stimuli\Open_Sora_25112025.png,0,0,0,3.0,3.0293045999715105,0,0,0,1,2.082452500006184,,,,,,,,,2.066251500044018,2.082452500006184,2.082452500006184,2.082452500006184,2.082452500006184,2.082452500006184,5.315180400037207,3.0,3.0293045999715105,pilot,001,2025-12-02_09h06.00.432,acceptability-judgment-advanced,,2025.1.1,72.05680380248141,2025-12-02 09h06.04.481802 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,Image stimuli\Likely_Sora_25112025.png,\Image stimuli\Certain_Sora_25112025.png,1,1,0,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
