Pair,SIDR,weak_sentence,strong_sentence,weak_image,strong_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Screener.started,partyslider.started,partyInstructions.started,Screener.stopped,party,partyslider.response,partyslider.rt,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.009897700045257807,0.020836299983784556,0.020836299983784556,1.3286159001290798,space,1.2882588999345899,None,,,,,,,,,,,,,,,,,pilot,001,2025-12-09_04h22.59.615,acceptability-judgment-advanced,,2025.1.1,145.14609647114304,2025-12-09 04h23.02.918046 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,1.3311646999791265,1.3690101001411676,1.3690101001411676,3.012285999953747,Democratic,2.0,1.6604172999504954,,,,,,,,,,pilot,001,2025-12-09_04h22.59.615,acceptability-judgment-advanced,,2025.1.1,145.14609647114304,2025-12-09 04h23.02.918046 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,Image stimuli/Likely_Sora_25112025.png,Image stimuli/Certain_Sora_25112025.png,0,0,0,1.0,2.425767899956554,0,0,0,2,3.1897048000246286,,,,,,,,,,,,,,,,3.1752031999640167,3.1897048000246286,3.1897048000246286,3.1897048000246286,3.1897048000246286,3.1897048000246286,5.955759600037709,1.0,2.425767899956554,pilot,001,2025-12-09_04h22.59.615,acceptability-judgment-advanced,,2025.1.1,145.14609647114304,2025-12-09 04h23.02.918046 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,Image stimuli/Ajar_Sora_25112025.png,Image stimuli/Open_Sora_25112025.png,1,1,0,1.0,0.5688851000741124,0,1,1,1,6.084879900095984,,,,,,,,,,,,,,,,6.075076899956912,6.084879900095984,6.084879900095984,6.084879900095984,6.084879900095984,6.084879900095984,6.79730480001308,1.0,0.5688851000741124,pilot,001,2025-12-09_04h22.59.615,acceptability-judgment-advanced,,2025.1.1,145.14609647114304,2025-12-09 04h23.02.918046 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,Image stimuli/Adequate_Sora_25112025.png,Image stimuli/Good_Sora_25112025 (3).png,2,2,0,1.0,0.6756319000851363,0,2,2,0,6.908867700025439,,,,,,,,,,,,,,,,6.895849199965596,6.908867700025439,6.908867700025439,6.908867700025439,6.908867700025439,6.908867700025439,7.71276929997839,1.0,0.6756319000851363,pilot,001,2025-12-09_04h22.59.615,acceptability-judgment-advanced,,2025.1.1,145.14609647114304,2025-12-09 04h23.02.918046 -0500,
