Pair,SIDR,weak_sentence,strong_sentence,weak_image,strong_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.013908099965192378,0.02510269999038428,0.02510269999038428,0.5311211000662297,space,0.469749900046736,None,,,,,,,,,,pilot,001,2025-12-02_09h00.50.699,acceptability-judgment-advanced,,2025.1.1,None,2025-12-02 09h00.55.149733 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Adequate_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Good_Sora_25112025 (3).png,0,0,0,2.0,3.689993600011803,0,0,0,0,0.7285624999785796,,,,,,,,,0.7052913999650627,0.7285624999785796,0.7285624999785796,0.7285624999785796,0.7285624999785796,0.7285624999785796,5.080459299962968,2.0,3.689993600011803,pilot,001,2025-12-02_09h00.50.699,acceptability-judgment-advanced,,2025.1.1,None,2025-12-02 09h00.55.149733 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Ajar_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Open_Sora_25112025.png,1,1,0,2.0,1.4113541999831796,0,1,1,1,5.240948199992999,,,,,,,,,5.230694100027904,5.240948199992999,5.240948199992999,5.240948199992999,5.240948199992999,5.240948199992999,6.824374299962074,2.0,1.4113541999831796,pilot,001,2025-12-02_09h00.50.699,acceptability-judgment-advanced,,2025.1.1,None,2025-12-02 09h00.55.149733 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Likely_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Certain_Sora_25112025.png,2,2,0,2.0,1.2890005999943241,0,2,2,2,6.968808899982832,,,,,,,,,6.956513000070117,6.968808899982832,6.968808899982832,6.968808899982832,6.968808899982832,6.968808899982832,8.50777420005761,2.0,1.2890005999943241,pilot,001,2025-12-02_09h00.50.699,acceptability-judgment-advanced,,2025.1.1,None,2025-12-02 09h00.55.149733 -0500,
