Pair,SIDR,weak_sentence,strong_sentence,weak_image,strong_image,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Screener.started,partyslider.started,partyInstructions.started,Screener.stopped,party,partyslider.response,partyslider.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.013124399934895337,0.02759199996944517,0.02759199996944517,1.844357299967669,space,1.625772799947299,None,,,,,,,,pilot,001,2025-12-02_14h03.51.329,acceptability-judgment-advanced,,2025.1.1,60.699869467787934,2025-12-02 14h03.57.158979 -0500,
,,,,,,,,,,,,,,,,,,,,,,1.8452933999942616,1.859805699903518,1.859805699903518,3.369307699962519,Republican,1.0,1.4933966000098735,pilot,001,2025-12-02_14h03.51.329,acceptability-judgment-advanced,,2025.1.1,60.699869467787934,2025-12-02 14h03.57.158979 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,Image stimuli/Ajar_Sora_25112025.png,Image stimuli/Open_Sora_25112025.png,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
