Pair,SIDR,weak_sentence,strong_sentence,weak_image,strong_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,screener.started,partyslider.started,partyInstructions.started,screener.stopped,party,partyslider.response,partyslider.rt,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,key_resp_2.started,trial.stopped,trials.slider.response,trials.slider.rt,trials.key_resp_2.keys,trials.key_resp_2.rt,trials.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.009251700015738606,0.02364169992506504,0.02364169992506504,0.9155609000008553,space,0.8696046001277864,None,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-09_05h21.48.751,final_project,,2025.1.1,72.03080039681876,2025-12-09 05h21.52.791022 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9181079999543726,0.9557115000206977,0.9557115000206977,2.103958999970928,Republican,1.0,1.1721745999529958,,,,,,,,,,,,,,pilot,001,2025-12-09_05h21.48.751,final_project,,2025.1.1,72.03080039681876,2025-12-09 05h21.52.791022 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,Image stimuli/Certain_Sora_25112025.png,Image stimuli/Likely_Sora_25112025.png,0,0,0,2.0,1.416899099946022,space,2.19630889990367,None,0,0,0,2,2.3040479000192136,,,,,,,,,,,,,,,,2.2912675000261515,2.3040479000192136,2.3040479000192136,2.3040479000192136,2.3040479000192136,2.3040479000192136,2.3040479000192136,4.514222000027075,2.0,1.416899099946022,space,2.19630889990367,None,pilot,001,2025-12-09_05h21.48.751,final_project,,2025.1.1,72.03080039681876,2025-12-09 05h21.52.791022 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,Image stimuli/Good_Sora_25112025 (3).png,Image stimuli/Adequate_Sora_25112025.png,1,1,0,2.0,1.724489500047639,space,1.9838103000074625,None,0,1,1,0,4.648034099955112,,,,,,,,,,,,,,,,4.636467000003904,4.648034099955112,4.648034099955112,4.648034099955112,4.648034099955112,4.648034099955112,4.648034099955112,6.635388700058684,2.0,1.724489500047639,space,1.9838103000074625,None,pilot,001,2025-12-09_05h21.48.751,final_project,,2025.1.1,72.03080039681876,2025-12-09 05h21.52.791022 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,Image stimuli/Open_Sora_25112025.png,Image stimuli/Ajar_Sora_25112025.png,2,2,0,2.0,1.0471359000075608,space,1.429524599807337,None,0,2,2,1,6.7801882000640035,,,,,,,,,,,,,,,,6.766585800098255,6.7801882000640035,6.7801882000640035,6.7801882000640035,6.7801882000640035,6.7801882000640035,6.7801882000640035,8.229941400000826,2.0,1.0471359000075608,space,1.429524599807337,None,pilot,001,2025-12-09_05h21.48.751,final_project,,2025.1.1,72.03080039681876,2025-12-09 05h21.52.791022 -0500,
