Pair,SIDR,weak_sentence,strong_sentence,strong_image,weak_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,screener.started,partyslider.started,partyInstructions.started,screener.stopped,party,partyslider.response,partyslider.rt,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,key_resp_2.started,trial.stopped,trials.slider.response,trials.slider.rt,trials.key_resp_2.keys,trials.key_resp_2.rt,trials.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.011550600174814463,0.022770100040361285,0.022770100040361285,1.5105971000157297,space,1.460179999936372,None,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-09_05h20.40.676,final_project,,2025.1.1,None,2025-12-09 05h20.44.754087 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5134882000274956,1.5511948000639677,1.5511948000639677,2.840248600114137,Republican,1.0,1.3063517999835312,,,,,,,,,,,,,,pilot,001,2025-12-09_05h20.40.676,final_project,,2025.1.1,None,2025-12-09 05h20.44.754087 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,Image stimuli/Certain_Sora_25112025.png,Image stimuli/Likely_Sora_25112025.png,0,0,0,2.0,1.3389554999303073,space,2.8352600999642164,None,0,0,0,2,3.0364666001405567,,,,,,,,,,,,,,,,3.017760100075975,3.0364666001405567,3.0364666001405567,3.0364666001405567,3.0364666001405567,3.0364666001405567,3.0364666001405567,5.874986700015143,2.0,1.3389554999303073,space,2.8352600999642164,None,pilot,001,2025-12-09_05h20.40.676,final_project,,2025.1.1,None,2025-12-09 05h20.44.754087 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,Image stimuli/Good_Sora_25112025 (3).png,Image stimuli/Adequate_Sora_25112025.png,1,1,0,2.0,1.0368965999223292,space,1.3307340000756085,None,0,1,1,0,6.000989800086245,,,,,,,,,,,,,,,,5.986263800179586,6.000989800086245,6.000989800086245,6.000989800086245,6.000989800086245,6.000989800086245,6.000989800086245,7.3381626000627875,2.0,1.0368965999223292,space,1.3307340000756085,None,pilot,001,2025-12-09_05h20.40.676,final_project,,2025.1.1,None,2025-12-09 05h20.44.754087 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,Image stimuli/Open_Sora_25112025.png,Image stimuli/Ajar_Sora_25112025.png,2,2,0,2.0,0.6232251999899745,space,0.8217496001161635,None,0,2,2,1,7.48186260019429,,,,,,,,,,,,,,,,7.471938400063664,7.48186260019429,7.48186260019429,7.48186260019429,7.48186260019429,7.48186260019429,7.48186260019429,8.305838100146502,2.0,0.6232251999899745,space,0.8217496001161635,None,pilot,001,2025-12-09_05h20.40.676,final_project,,2025.1.1,None,2025-12-09 05h20.44.754087 -0500,
