Pair,SIDR,weak_sentence,strong_sentence,weak_image,strong_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.007482099928893149,0.012606999953277409,0.012606999953277409,0.9116620999993756,space,0.8790551000274718,None,,,,,,,,,,pilot,001,2025-12-02_08h56.14.884,acceptability-judgment-advanced,,2025.1.1,71.87734275533596,2025-12-02 08h56.19.100472 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Ajar_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Open_Sora_25112025.png,0,0,0,4.0,25.759442000067793,0,0,0,1,1.1300411999691278,,,,,,,,,1.1057096999138594,1.1300411999691278,1.1300411999691278,1.1300411999691278,1.1300411999691278,1.1300411999691278,27.099734399933368,4.0,25.759442000067793,pilot,001,2025-12-02_08h56.14.884,acceptability-judgment-advanced,,2025.1.1,71.87734275533596,2025-12-02 08h56.19.100472 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Likely_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Certain_Sora_25112025.png,1,1,0,2.0,43.08380699995905,0,1,1,2,27.28157339990139,,,,,,,,,27.270887499907985,27.28157339990139,27.28157339990139,27.28157339990139,27.28157339990139,27.28157339990139,70.584915000014,2.0,43.08380699995905,pilot,001,2025-12-02_08h56.14.884,acceptability-judgment-advanced,,2025.1.1,71.87734275533596,2025-12-02 08h56.19.100472 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Adequate_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Good_Sora_25112025 (3).png,2,2,0,2.0,0.7566677000140771,0,2,2,0,70.72467139991932,,,,,,,,,70.71114459994715,70.72467139991932,70.72467139991932,70.72467139991932,70.72467139991932,70.72467139991932,71.59620129992254,2.0,0.7566677000140771,pilot,001,2025-12-02_08h56.14.884,acceptability-judgment-advanced,,2025.1.1,71.87734275533596,2025-12-02 08h56.19.100472 -0500,
