Pair,SIDR,weak_sentence,strong_sentence,weak_image,strong_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0066500999964773655,0.011593900038860738,0.011593900038860738,1.2350921001052484,space,1.2020998999942094,None,,,,,,,,,,pilot,001,2025-12-02_09h01.35.072,acceptability-judgment-advanced,,2025.1.1,71.99895748068435,2025-12-02 09h02.16.425183 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Ajar_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Open_Sora_25112025.png,0,0,0,3.0,9.404958799947053,0,0,0,1,1.4440027000382543,,,,,,,,,1.423899400047958,1.4440027000382543,1.4440027000382543,1.4440027000382543,1.4440027000382543,1.4440027000382543,10.994980000075884,3.0,9.404958799947053,pilot,001,2025-12-02_09h01.35.072,acceptability-judgment-advanced,,2025.1.1,71.99895748068435,2025-12-02 09h02.16.425183 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Likely_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Certain_Sora_25112025.png,1,1,0,3.0,1.5837007999652997,0,1,1,2,11.127938300021924,,,,,,,,,11.113942700088955,11.127938300021924,11.127938300021924,11.127938300021924,11.127938300021924,11.127938300021924,12.947481600102037,3.0,1.5837007999652997,pilot,001,2025-12-02_09h01.35.072,acceptability-judgment-advanced,,2025.1.1,71.99895748068435,2025-12-02 09h02.16.425183 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Adequate_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Good_Sora_25112025 (3).png,2,2,0,3.0,0.42784060002304614,0,2,2,0,13.072169900056906,,,,,,,,,13.060690100071952,13.072169900056906,13.072169900056906,13.072169900056906,13.072169900056906,13.072169900056906,13.688306600088254,3.0,0.42784060002304614,pilot,001,2025-12-02_09h01.35.072,acceptability-judgment-advanced,,2025.1.1,71.99895748068435,2025-12-02 09h02.16.425183 -0500,
