Pair,SIDR,weak_sentence,strong_sentence,weak_image,strong_image,thisN,thisTrialN,thisRepN,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,image.started,image_2.started,textbox.started,errorBox.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.008450599969364703,0.013388699968345463,0.013388699968345463,0.8737801000243053,space,0.8404464999912307,None,,,,,,,,,,pilot,001,2025-12-02_08h59.46.251,acceptability-judgment-advanced,,2025.1.1,72.20320865735806,2025-12-02 08h59.56.296513 -0500,
likely/certain,0.79,The spokesperson said success was likely.,The spokesperson said success was certain.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Likely_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Certain_Sora_25112025.png,0,0,0,4.0,3.7424241000553593,0,0,0,2,1.0845409999601543,,,,,,,,,1.0702374000102282,1.0845409999601543,1.0845409999601543,1.0845409999601543,1.0845409999601543,1.0845409999601543,10.37230179994367,4.0,3.7424241000553593,pilot,001,2025-12-02_08h59.46.251,acceptability-judgment-advanced,,2025.1.1,72.20320865735806,2025-12-02 08h59.56.296513 -0500,
ajar/open,0.11,The spokesperson said the door to the ballot room was ajar.,The spokesperson said the door to the ballot room was open.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Ajar_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Open_Sora_25112025.png,1,1,0,2.0,1.6246284999651834,0,1,1,1,10.50487169995904,,,,,,,,,10.490488299983554,10.50487169995904,10.50487169995904,10.50487169995904,10.50487169995904,10.50487169995904,12.222671199939214,2.0,1.6246284999651834,pilot,001,2025-12-02_08h59.46.251,acceptability-judgment-advanced,,2025.1.1,72.20320865735806,2025-12-02 08h59.56.296513 -0500,
adequate/good,0.44,The spokesperson said the office equipment was adequate.,The spokesperson said the office equipment was good.,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Adequate_Sora_25112025.png,C:\Users\ctnic\OneDrive\Desktop\FInal_ling_805\Image stimuli\Good_Sora_25112025 (3).png,2,2,0,2.0,1.1234702999936417,0,2,2,0,12.345526800025254,,,,,,,,,12.335785300005227,12.345526800025254,12.345526800025254,12.345526800025254,12.345526800025254,12.345526800025254,13.593378599965945,2.0,1.1234702999936417,pilot,001,2025-12-02_08h59.46.251,acceptability-judgment-advanced,,2025.1.1,72.20320865735806,2025-12-02 08h59.56.296513 -0500,
